X, Y, campo
6.43023, 42.3162, 1.41327e-09
6.4714, 42.3508, 1.41376e-09
6.51477, 42.3927, 1.41626e-09
6.55066, 42.4217, 1.42098e-09
6.59828, 42.4742, 1.42627e-09
6.6459, 42.5111, 1.42986e-09
6.68443, 42.5506, 1.43246e-09
6.7319, 42.5935, 1.4311e-09
6.76971, 42.628, 1.43342e-09
6.84454, 42.6828, 1.42484e-09
6.88373, 42.7196, 1.4238e-09
6.92472, 42.7639, 1.42538e-09
6.95896, 42.7948, 1.43001e-09
7.00361, 42.8498, 1.43414e-09
7.04835, 42.8919, 1.43711e-09
2.52, 59.6916, 7.35463e-10
2.59169, 59.6674, 7.53119e-10
2.65096, 59.6513, 7.68552e-10
2.42823, 59.7098, 7.13926e-10
2.47782, 59.6972, 7.2976e-10
2.77186, 59.6273, 7.93286e-10
2.83552, 59.5987, 8.15051e-10
2.90251, 59.5859, 8.29133e-10
2.71752, 59.6328, 7.85638e-10
2.04893, 59.802, 6.27329e-10
2.13129, 59.7831, 6.50622e-10
2.1742, 59.7698, 6.59089e-10
1.92096, 59.8279, 5.85829e-10
1.98158, 59.8177, 6.08333e-10
2.30638, 59.7394, 6.8779e-10
2.34905, 59.7363, 6.96447e-10
2.2341, 59.7562, 6.71986e-10
3.4673, 59.3904, 9.45884e-10
3.52931, 59.3699, 9.61514e-10
3.58419, 59.345, 9.75375e-10
3.36495, 59.4349, 9.2367e-10
3.41157, 59.4094, 9.32059e-10
3.71048, 59.2956, 9.98799e-10
3.75224, 59.2862, 9.96952e-10
3.82929, 59.2514, 1.0124e-09
3.65823, 59.327, 9.87676e-10
3.00036, 59.5557, 8.59261e-10
3.06292, 59.5286, 8.73558e-10
3.13349, 59.5056, 8.90991e-10
2.95799, 59.5617, 8.50578e-10
3.2267, 59.4816, 9.05287e-10
3.30411, 59.4509, 9.16268e-10
3.18933, 59.487, 8.96417e-10
0.580837, 59.997, 1.88034e-10
0.655877, 59.9872, 2.16593e-10
0.487448, 60, 1.58913e-10
0.534979, 60.0028, 1.73073e-10
0.847245, 59.9728, 2.7671e-10
0.895021, 59.9756, 2.9305e-10
0.732454, 59.982, 2.43773e-10
0.786038, 59.9779, 2.60721e-10
0.111302, 60.0082, 4.49277e-11
0.225306, 60.0131, 8.04077e-11
0.149854, 60.0183, 5.7802e-11
0.346693, 60.0039, 1.19067e-10
0.377353, 60.0017, 1.29946e-10
0.420803, 59.9999, 1.39558e-10
0.286741, 60.0115, 9.61031e-11
1.57354, 59.8843, 4.91103e-10
1.64668, 59.8794, 5.11613e-10
1.69976, 59.8634, 5.32227e-10
1.45764, 59.9052, 4.60703e-10
1.51814, 59.8944, 4.74271e-10
1.80776, 59.8494, 5.5792e-10
1.87545, 59.8354, 5.74999e-10
