  x,     y,   camp
    0.11426E+02,    0.53007E+02,    0.26620E-13
    0.11260E+02,    0.52725E+02,    0.27608E-13
    0.11408E+02,    0.51385E+02,    0.28136E-13
    0.11225E+02,    0.51786E+02,    0.27988E-13
    0.11160E+02,    0.51513E+02,    0.28824E-13
    0.10363E+02,    0.54029E+02,    0.27780E-13
    0.10402E+02,    0.54334E+02,    0.26442E-13
    0.12270E+02,    0.54417E+02,    0.24967E-13
    0.12204E+02,    0.54906E+02,    0.23598E-13
    0.15783E+02,    0.53106E+02,    0.22849E-13
    0.16181E+02,    0.51572E+02,    0.22881E-13
    0.15371E+02,    0.50822E+02,    0.23641E-13
    0.10777E+02,    0.58227E+02,    0.21300E-13
    0.11436E+02,    0.58036E+02,    0.20566E-13
    0.29865E+02,    0.61418E+02,    0.20308E-13
    0.27625E+02,    0.67145E+02,    0.19967E-13
    0.21667E+02,    0.67453E+02,    0.19923E-13
    0.19820E+02,    0.63481E+02,    0.19919E-13
    0.17103E+02,    0.57967E+02,    0.20795E-13
    0.16895E+02,    0.54331E+02,    0.22023E-13
    0.16177E+02,    0.55955E+02,    0.21765E-13
    0.18812E+02,    0.53536E+02,    0.21521E-13
    0.12411E+00,    0.38758E+02,    0.12496E-14
    0.12411E+00,    0.38525E+02,    0.27274E-14
    0.92982E+00,    0.38376E+02,    0.41997E-14
    0.68489E+00,    0.38306E+02,    0.36127E-14
    0.10552E+01,    0.38111E+02,    0.50059E-14
    0.64045E+00,    0.37934E+02,    0.57370E-14
    0.89840E+00,    0.37831E+02,    0.58411E-14
    0.72786E+01,    0.41609E+02,    0.19360E-13
    0.76751E+01,    0.41944E+02,    0.20514E-13
    0.75724E+01,    0.41696E+02,    0.19355E-13
    0.79613E+01,    0.42043E+02,    0.20312E-13
    0.81681E+01,    0.41839E+02,    0.20432E-13
    0.82656E+01,    0.41220E+02,    0.19554E-13
    0.75728E+01,    0.41254E+02,    0.18197E-13
    0.77392E+01,    0.41483E+02,    0.19640E-13
    0.80487E+01,    0.41527E+02,    0.19170E-13
    0.76283E+01,    0.40940E+02,    0.18477E-13
    0.80116E+01,    0.40862E+02,    0.17961E-13
    0.10688E+02,    0.40052E+02,    0.19671E-13
    0.99375E+01,    0.39447E+02,    0.18419E-13
    0.97081E+01,    0.41241E+02,    0.19822E-13
    0.10420E+02,    0.41016E+02,    0.19838E-13
    0.91216E+01,    0.40931E+02,    0.19688E-13
    0.87921E+01,    0.40381E+02,    0.17892E-13
    0.89792E+01,    0.39773E+02,    0.18411E-13
    0.24518E+01,    0.39161E+02,    0.66709E-14
    0.22694E+01,    0.38966E+02,    0.62431E-14
    0.27320E+01,    0.39104E+02,    0.70934E-14
    0.24357E+01,    0.38704E+02,    0.64175E-14
    0.27227E+01,    0.38802E+02,    0.76189E-14
    0.41168E+01,    0.39169E+02,    0.10145E-13
    0.40234E+01,    0.38881E+02,    0.10393E-13
    0.45630E+01,    0.39173E+02,    0.11044E-13
    0.43609E+01,    0.39305E+02,    0.11513E-13
    0.42623E+01,    0.38639E+02,    0.10412E-13
    0.45576E+01,    0.38795E+02,    0.11843E-13
    0.22692E+00,    0.62459E+02,    0.66539E-14
    0.30572E+00,    0.61125E+02,    0.15565E-14
    0.90128E+00,    0.62161E+02,    0.57470E-14
    0.11503E+01,    0.62445E+02,    0.64826E-14
    0.14745E+01,    0.62280E+02,    0.70933E-14
    0.24483E+01,    0.60839E+02,    0.66768E-14
    0.30660E+01,    0.61585E+02,    0.84050E-14
    0.29498E+01,    0.60718E+02,    0.81085E-14
    0.27275E+01,    0.60895E+02,    0.70710E-14
    0.27229E+01,    0.61190E+02,    0.76030E-14
    0.29700E+01,    0.61275E+02,    0.75378E-14
    0.49591E+01,    0.59931E+02,    0.13546E-13
    0.46763E+01,    0.61907E+02,    0.11257E-13
    0.51056E+01,    0.61531E+02,    0.12608E-13
    0.49101E+01,    0.61230E+02,    0.11813E-13
    0.10408E+02,    0.45085E+02,    0.26097E-13
    0.10187E+02,    0.45211E+02,    0.25937E-13
    0.10351E+02,    0.44789E+02,    0.24825E-13
    0.99308E+01,    0.45021E+02,    0.26439E-13
    0.10049E+02,    0.44754E+02,    0.25855E-13
    0.94056E+01,    0.44031E+02,    0.24962E-13
    0.96546E+01,    0.44162E+02,    0.24281E-13
    0.93620E+01,    0.43727E+02,    0.23699E-13
    0.96033E+01,    0.43542E+02,    0.23867E-13
    0.99782E+01,    0.43988E+02,    0.24364E-13
    0.99704E+01,    0.43672E+02,    0.23068E-13
    0.87783E+01,    0.43182E+02,    0.23313E-13
    0.90953E+01,    0.43590E+02,    0.24236E-13
    0.90454E+01,    0.43320E+02,    0.23039E-13
    0.92570E+01,    0.43144E+02,    0.23179E-13
    0.95481E+01,    0.43229E+02,    0.22296E-13
    0.98349E+01,    0.42698E+02,    0.21365E-13
    0.99633E+01,    0.43039E+02,    0.22799E-13
    0.11800E+02,    0.47944E+02,    0.27037E-13
    0.11556E+02,    0.48177E+02,    0.27850E-13
    0.12187E+02,    0.48093E+02,    0.26350E-13
    0.11636E+02,    0.48472E+02,    0.27794E-13
    0.12203E+02,    0.48493E+02,    0.26959E-13
    0.11895E+02,    0.48639E+02,    0.27140E-13
    0.11099E+02,    0.49185E+02,    0.29585E-13
    0.11911E+02,    0.49485E+02,    0.27628E-13
    0.12071E+02,    0.49238E+02,    0.26985E-13
    0.11877E+02,    0.48945E+02,    0.27738E-13
    0.11623E+02,    0.49327E+02,    0.28086E-13
    0.11613E+02,    0.49051E+02,    0.27888E-13
    0.11661E+02,    0.50140E+02,    0.28088E-13
    0.11909E+02,    0.50271E+02,    0.27701E-13
    0.12097E+02,    0.50015E+02,    0.27017E-13
    0.11666E+02,    0.49867E+02,    0.28052E-13
    0.11925E+02,    0.49749E+02,    0.27727E-13
    0.11090E+02,    0.50300E+02,    0.29727E-13
    0.11244E+02,    0.50119E+02,    0.29005E-13
    0.11611E+02,    0.55124E+02,    0.24647E-13
    0.11546E+02,    0.55707E+02,    0.22968E-13
    0.11822E+02,    0.52002E+02,    0.27190E-13
    0.11557E+02,    0.51806E+02,    0.27829E-13
    0.11625E+02,    0.51516E+02,    0.27852E-13
    0.11871E+02,    0.51350E+02,    0.27157E-13
    0.12194E+02,    0.51470E+02,    0.27040E-13
    0.12214E+02,    0.51832E+02,    0.26341E-13
    0.76749E+01,    0.58056E+02,    0.20503E-13
    0.79598E+01,    0.57959E+02,    0.20299E-13
    0.68716E+01,    0.62776E+02,    0.15689E-13
    0.60342E+01,    0.63181E+02,    0.14874E-13
    0.55726E+01,    0.62427E+02,    0.12897E-13
    0.84876E+01,    0.64169E+02,    0.17552E-13
    0.79017E+01,    0.62938E+02,    0.15679E-13
    0.10533E+02,    0.64049E+02,    0.17479E-13
    0.10193E+02,    0.54512E+02,    0.27055E-13
    0.11077E+02,    0.53763E+02,    0.26959E-13
    0.10729E+02,    0.53683E+02,    0.26965E-13
    0.10593E+02,    0.53918E+02,    0.26855E-13
    0.14467E+02,    0.56056E+02,    0.22032E-13
    0.13747E+02,    0.55148E+02,    0.22599E-13
    0.13490E+02,    0.57094E+02,    0.22166E-13
    0.12697E+02,    0.55423E+02,    0.23310E-13
    0.12190E+02,    0.55966E+02,    0.23308E-13
    0.12263E+02,    0.56729E+02,    0.21551E-13
    0.12981E+02,    0.51155E+02,    0.26102E-13
    0.14469E+02,    0.51173E+02,    0.23693E-13
    0.14108E+02,    0.50338E+02,    0.24989E-13
    0.13082E+02,    0.50658E+02,    0.25941E-13
    0.13458E+02,    0.50264E+02,    0.25007E-13
    0.12714E+02,    0.53488E+02,    0.25151E-13
    0.12906E+02,    0.54052E+02,    0.23619E-13
    0.13892E+02,    0.54266E+02,    0.23946E-13
    0.14539E+02,    0.53418E+02,    0.23210E-13
    0.14839E+02,    0.61495E+02,    0.19520E-13
    0.15588E+02,    0.59385E+02,    0.20983E-13
    0.13685E+02,    0.58411E+02,    0.20405E-13
    0.12422E+02,    0.58984E+02,    0.21042E-13
    0.20743E+02,    0.54803E+02,    0.21253E-13
    0.25896E+02,    0.58232E+02,    0.20324E-13
    0.21810E+02,    0.59988E+02,    0.20531E-13
    0.19752E+02,    0.57610E+02,    0.20760E-13
