 X,    Y,   CNA  
    0.11130E+02,    0.45000E+02,    0.98226E+08
    0.11150E+02,    0.45640E+02,    0.98133E+08
    0.13060E+02,    0.44830E+02,    0.10433E+09
    0.12420E+02,    0.44890E+02,    0.10430E+09
    0.13100E+02,    0.45440E+02,    0.10321E+09
    0.12460E+02,    0.45490E+02,    0.10343E+09
    0.11570E+02,    0.41180E+02,    0.10554E+09
    0.11670E+02,    0.41960E+02,    0.10566E+09
    0.11830E+02,    0.42590E+02,    0.10543E+09
    0.11820E+02,    0.43180E+02,    0.10487E+09
    0.11780E+02,    0.43760E+02,    0.10415E+09
    0.11110E+02,    0.43760E+02,    0.10007E+09
