"X","    Y","  V  ","Points:0","Points:1","Points:2"
1.6305,2.1315,0.21011,1.6305,2.1315,0
2.334,1.3293,0.13165,2.334,1.3293,0
1.8624,0.16981,0.01679,1.8624,0.16981,0
0.07277,6.3059,0.65669,0.07277,6.3059,0
0.29108,5.9982,0.63972,0.29108,5.9982,0
0.036385,6.278,0.65521,0.036385,6.278,0
0.14554,6.2616,0.65376,0.14554,6.2616,0
0.036638,6.2446,0.65337,0.036638,6.2446,0
0.036638,6.1196,0.64777,0.036638,6.1196,0
0.073277,6.1891,0.65046,0.073277,6.1891,0
0.036638,6.1571,0.64922,0.036638,6.1571,0
0.030709,6.0846,0.64665,0.030709,6.0846,0
0.080207,6.0321,0.64509,0.080207,6.0321,0
0.126,6.0557,0.64509,0.126,6.0557,0
0.067347,6.1041,0.64709,0.067347,6.1041,0
0.10991,6.1836,0.64998,0.10991,6.1836,0
0.1844,6.0299,0.6434,0.1844,6.0299,0
0.15917,6.1287,0.64709,0.15917,6.1287,0
0.36941,6.0046,0.63724,0.36941,6.0046,0
0.23042,6.0597,0.6433,0.23042,6.0597,0
0.30101,6.1096,0.64372,0.30101,6.1096,0
0.41412,5.9832,0.63471,0.41412,5.9832,0
0.0090329,6.5466,0.67325,0.0090329,6.5466,0
0.32923,6.0224,0.6393,0.32923,6.0224,0
0.23638,6.6216,0.67846,0.23638,6.6216,0
0.753,6.1321,0.63331,0.753,6.1321,0
0.71501,5.9341,0.6191,0.71501,5.9341,0
0.55275,6.1094,0.63702,0.55275,6.1094,0
1.2963,5.9184,0.60198,1.2963,5.9184,0
0.76683,6.8111,0.6915,0.76683,6.8111,0
1.6271,5.5999,0.56503,1.6271,5.5999,0
0.036385,6.328,0.65814,0.036385,6.328,0
0.036132,6.3864,0.66184,0.036132,6.3864,0
0.090329,6.3907,0.66201,0.090329,6.3907,0
4.1875,7.6502,0.76592,4.1875,7.6502,0
0.32451,6.4807,0.66697,0.32451,6.4807,0
0.15495,6.735,0.68796,0.15495,6.735,0
0.27909,6.3007,0.65477,0.27909,6.3007,0
0.67908,6.3879,0.6555,0.67908,6.3879,0
0.99651,5.304,0.54239,0.99651,5.304,0
1.107,5.658,0.57954,1.107,5.658,0
2.1053,5.463,0.54831,2.1053,5.463,0
3.5,8.113,0.81232,3.5,8.113,0
2.6691,7.7186,0.77369,2.6691,7.7186,0
3.375,9.0404,0.90462,3.375,9.0404,0
0.091895,7.0979,0.71955,0.091895,7.0979,0
0.045947,7.124,0.72193,0.045947,7.124,0
0.022974,7.162,0.72538,0.022974,7.162,0
1.0942,5.0743,0.51011,1.0942,5.0743,0
1.0488,4.9372,0.49154,1.0488,4.9372,0
1.396,5.0813,0.50954,1.396,5.0813,0
0.53045,6.9271,0.7032,0.53045,6.9271,0
0.036758,6.8742,0.69987,0.036758,6.8742,0
0.5082,7.4804,0.75436,0.5082,7.4804,0
0.077474,6.6675,0.6826,0.077474,6.6675,0
0.3427,6.8311,0.69551,0.3427,6.8311,0
0.036758,6.8242,0.6956,0.036758,6.8242,0
0.073516,6.8983,0.70193,0.073516,6.8983,0
0.038737,6.7088,0.68598,0.038737,6.7088,0
0.036758,6.9242,0.7042,0.036758,6.9242,0
0.036758,6.9742,0.70857,0.036758,6.9742,0
0.19298,7.0705,0.71699,0.19298,7.0705,0
0.041353,7.0741,0.71744,0.041353,7.0741,0
0.17,6.9836,0.70927,0.17,6.9836,0
0.048245,7.2239,0.73101,0.048245,7.2239,0
0.36758,7.1789,0.72652,0.36758,7.1789,0
0.036758,7.268,0.73505,0.036758,7.268,0
1.1209,6.1772,0.62986,1.1209,6.1772,0
1.1486,6.6748,0.6762,1.1486,6.6748,0
0.036758,7.3179,0.73966,0.036758,7.3179,0
